"state","year","crimes"
"Johor",2016,12941
"Johor",2023,5330
"Kedah",2016,7440
"Kedah",2023,4567
"Kelantan",2016,4548
"Kelantan",2023,1994
"Kuala Lumpur",2016,16989
"Kuala Lumpur",2023,4540
"Melaka",2016,3664
"Melaka",2023,1457
"Negeri Sembilan",2016,4474
"Negeri Sembilan",2023,1895
"Pahang",2016,3777
"Pahang",2023,1875
"Penang",2016,6116
"Penang",2023,3604
"Perak",2016,5841
"Perak",2023,3572
"Perlis",2016,655
"Perlis",2023,339
"Sabah",2016,5367
"Sabah",2023,4117
"Sarawak",2016,6826
"Sarawak",2023,4045
"Selangor",2016,31223
"Selangor",2023,13739
"Terengganu",2016,2494
"Terengganu",2023,1370
